Combinação,Dezenas
Combinação 94,"60, 54, 11, 5, 3, 4"
Combinação 95,"60, 54, 11, 5, 3, 1"
Combinação 96,"60, 54, 11, 5, 4, 1"
Combinação 97,"60, 54, 11, 6, 3, 4"
Combinação 98,"60, 54, 11, 6, 3, 1"
Combinação 99,"60, 54, 11, 6, 4, 1"
Combinação 100,"60, 54, 11, 3, 4, 1"
Combinação 101,"60, 54, 5, 6, 3, 4"
Combinação 102,"60, 54, 5, 6, 3, 1"
Combinação 103,"60, 54, 5, 6, 4, 1"
Combinação 104,"60, 54, 5, 3, 4, 1"
Combinação 105,"60, 54, 6, 3, 4, 1"
Combinação 106,"60, 12, 11, 5, 6, 3"
Combinação 107,"60, 12, 11, 5, 6, 4"
Combinação 108,"60, 12, 11, 5, 6, 1"
Combinação 109,"60, 12, 11, 5, 3, 4"
Combinação 110,"60, 12, 11, 5, 3, 1"
Combinação 111,"60, 12, 11, 5, 4, 1"
Combinação 112,"60, 12, 11, 6, 3, 4"
Combinação 113,"60, 12, 11, 6, 3, 1"
Combinação 114,"60, 12, 11, 6, 4, 1"
Combinação 115,"60, 12, 11, 3, 4, 1"
Combinação 116,"60, 12, 5, 6, 3, 4"
Combinação 117,"60, 12, 5, 6, 3, 1"
Combinação 118,"60, 12, 5, 6, 4, 1"
Combinação 119,"60, 12, 5, 3, 4, 1"
Combinação 120,"60, 12, 6, 3, 4, 1"
Combinação 121,"60, 11, 5, 6, 3, 4"
Combinação 122,"60, 11, 5, 6, 3, 1"
Combinação 123,"60, 11, 5, 6, 4, 1"
Combinação 124,"60, 11, 5, 3, 4, 1"
Combinação 125,"60, 11, 6, 3, 4, 1"
Combinação 126,"60, 5, 6, 3, 4, 1"
Combinação 127,"59, 54, 12, 11, 5, 6"
Combinação 128,"59, 54, 12, 11, 5, 3"
Combinação 129,"59, 54, 12, 11, 5, 4"
Combinação 130,"59, 54, 12, 11, 5, 1"
Combinação 131,"59, 54, 12, 11, 6, 3"
Combinação 132,"59, 54, 12, 11, 6, 4"
Combinação 133,"59, 54, 12, 11, 6, 1"
Combinação 134,"59, 54, 12, 11, 3, 4"
Combinação 135,"59, 54, 12, 11, 3, 1"
Combinação 136,"59, 54, 12, 11, 4, 1"
Combinação 137,"59, 54, 12, 5, 6, 3"
Combinação 138,"59, 54, 12, 5, 6, 4"
Combinação 139,"59, 54, 12, 5, 6, 1"
Combinação 140,"59, 54, 12, 5, 3, 4"
Combinação 141,"59, 54, 12, 5, 3, 1"
Combinação 142,"59, 54, 12, 5, 4, 1"
Combinação 143,"59, 54, 12, 6, 3, 4"
Combinação 144,"59, 54, 12, 6, 3, 1"
Combinação 145,"59, 54, 12, 6, 4, 1"
Combinação 146,"59, 54, 12, 3, 4, 1"
Combinação 147,"59, 54, 11, 5, 6, 3"
Combinação 148,"59, 54, 11, 5, 6, 4"
Combinação 149,"59, 54, 11, 5, 6, 1"
Combinação 150,"59, 54, 11, 5, 3, 4"
Combinação 151,"59, 54, 11, 5, 3, 1"
Combinação 152,"59, 54, 11, 5, 4, 1"
Combinação 153,"59, 54, 11, 6, 3, 4"
Combinação 154,"59, 54, 11, 6, 3, 1"
Combinação 155,"59, 54, 11, 6, 4, 1"
Combinação 156,"59, 54, 11, 3, 4, 1"
Combinação 157,"59, 54, 5, 6, 3, 4"
Combinação 158,"59, 54, 5, 6, 3, 1"
Combinação 159,"59, 54, 5, 6, 4, 1"
Combinação 160,"59, 54, 5, 3, 4, 1"
Combinação 161,"59, 54, 6, 3, 4, 1"
Combinação 162,"59, 12, 11, 5, 6, 3"
Combinação 163,"59, 12, 11, 5, 6, 4"
Combinação 164,"59, 12, 11, 5, 6, 1"
Combinação 165,"59, 12, 11, 5, 3, 4"
Combinação 166,"59, 12, 11, 5, 3, 1"
Combinação 167,"59, 12, 11, 5, 4, 1"
Combinação 168,"59, 12, 11, 6, 3, 4"
Combinação 169,"59, 12, 11, 6, 3, 1"
Combinação 170,"59, 12, 11, 6, 4, 1"
Combinação 171,"59, 12, 11, 3, 4, 1"
Combinação 172,"59, 12, 5, 6, 3, 4"
Combinação 173,"59, 12, 5, 6, 3, 1"
Combinação 174,"59, 12, 5, 6, 4, 1"
Combinação 175,"59, 12, 5, 3, 4, 1"
Combinação 176,"59, 12, 6, 3, 4, 1"
Combinação 177,"59, 11, 5, 6, 3, 4"
Combinação 178,"59, 11, 5, 6, 3, 1"
Combinação 179,"59, 11, 5, 6, 4, 1"
Combinação 180,"59, 11, 5, 3, 4, 1"
Combinação 181,"59, 11, 6, 3, 4, 1"
Combinação 182,"59, 5, 6, 3, 4, 1"
Combinação 183,"54, 12, 11, 5, 6, 3"
Combinação 184,"54, 12, 11, 5, 6, 4"
Combinação 185,"54, 12, 11, 5, 6, 1"
Combinação 186,"54, 12, 11, 5, 3, 4"
Combinação 187,"54, 12, 11, 5, 3, 1"
Combinação 188,"54, 12, 11, 5, 4, 1"
Combinação 189,"54, 12, 11, 6, 3, 4"
Combinação 190,"54, 12, 11, 6, 3, 1"
Combinação 191,"54, 12, 11, 6, 4, 1"
Combinação 192,"54, 12, 11, 3, 4, 1"
Combinação 193,"54, 12, 5, 6, 3, 4"
Combinação 194,"54, 12, 5, 6, 3, 1"
Combinação 195,"54, 12, 5, 6, 4, 1"
Combinação 196,"54, 12, 5, 3, 4, 1"
Combinação 197,"54, 12, 6, 3, 4, 1"
Combinação 198,"54, 11, 5, 6, 3, 4"
Combinação 199,"54, 11, 5, 6, 3, 1"
Combinação 200,"54, 11, 5, 6, 4, 1"
Combinação 201,"54, 11, 5, 3, 4, 1"
Combinação 202,"54, 11, 6, 3, 4, 1"
Combinação 203,"54, 5, 6, 3, 4, 1"
Combinação 204,"12, 11, 5, 6, 3, 4"
Combinação 205,"12, 11, 5, 6, 3, 1"
Combinação 206,"12, 11, 5, 6, 4, 1"
Combinação 207,"12, 11, 5, 3, 4, 1"
Combinação 208,"12, 11, 6, 3, 4, 1"
Combinação 209,"12, 5, 6, 3, 4, 1"
Combinação 210,"11, 5, 6, 3, 4, 1"
